"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2011,"Palorinya  ",131,201,NA,148,366,26,132,187,NA,142,"274",12
2011,"Pader  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Oruchinga  ",493,548,NA,323,1089,64,480,549,NA,333,"991",62
2011,"Nakivale  ",5120,6494,NA,3938,12444,530,5196,6452,NA,3986,"12843",585
2011,"Masindi  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Kyangwali  ",2546,2961,NA,1705,5224,311,2572,2984,NA,1724,"5121",244
2011,"Kitgum  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Kiryandongo  ",255,501,NA,353,1065,103,266,504,NA,384,"941",76
2011,"Kyaka II  ",1494,1846,NA,1213,3405,282,1458,1806,NA,1283,"3124",311
2011,"Katakwi  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Kampala  ",1945,4412,NA,5851,6544,205,2029,4541,NA,7472,"9320",181
2011,"Imvepi  ",112,196,NA,183,388,28,142,213,NA,238,"427",6
2011,"Gulu  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Amuru  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Amuria  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Adjumani  ",492,873,NA,606,1578,111,509,888,NA,626,"1097",46
2012,"Rwamanja",4122,3543,NA,3379,3579,117,4081,3609,NA,3406,"3859",102
2012,"Rhino Camp   ",340,579,NA,422,812,79,341,592,NA,553,"515",33
2012,"Oruchinga  ",536,730,NA,379,1248,67,582,680,NA,406,"1089",72
2012,"Nakivale  ",5530,7713,NA,4901,13228,603,5554,7750,NA,5034,"13423",637
2012,"Kyangwali  ",2302,3935,NA,4217,304,2,2393,3976,NA,3883,"267",1
2012,"Kiryandongo  ",238,414,NA,317,838,80,239,430,NA,345,"687",64
2012,"Kyaka II  ",1964,2166,NA,1402,3385,276,1954,2150,NA,1453,"3041",264
2012,"Kampala  ",3205,9220,NA,13634,5213,169,3310,9483,NA,17456,"7642",144
2012,"Adjumani  ",712,1210,NA,873,2025,145,723,1299,NA,880,"1351",61
2013,"Dispersed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
2013,"Rwamanja  ",7223,6594,NA,7894,3353,98,7153,6915,NA,8125,"3595",91
2013,"Rhino Camp   ",888,1337,NA,784,1838,169,879,1413,NA,990,"1183",75
