"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2017,"Kyaka II",2493,3899,0,2412,7118,540,2526,3932,0,2448,6803,485
2017,"Kyangwali  ",3953,4402,0,2664,7195,483,3993,4578,0,2714,6294,437
2017,"Lamwo",2065,3053,0,1653,4076,377,2189,3391,0,1998,2539,131
2017,"Lobule",276,696,0,523,787,77,267,710,0,554,511,40
2017,"Moyo",9942,17456,0,12749,27935,3157,10131,17838,0,13230,19414,1502
2017,"Nakivale  ",8230,11330,0,7970,22048,1110,8416,11667,0,7991,22265,982
2017,"Oruchinga  ",580,831,0,537,1467,89,613,869,0,523,1261,82
2017,"Rhino Camp   ",8091,15168,0,10452,25541,1615,8113,15179,0,11312,24165,777
2017,"Rwamanja  ",8428,9660,0,4635,14876,925,8322,9395,0,4719,15226,849
2017,"Yumbe (Bidibidi)",29466,45145,0,26277,45571,4558,29045,46969,0,28331,29703,2022
2018,"Adjumani  ",17529,28335,0,19396,38671,4842,17763,29087,0,21316,23845,1822
2018,"Imvepi",5804,7886,0,4572,10523,1211,5878,8054,0,4696,7685,518
2018,"Kampala  ",2916,4566,0,3787,15112,377,2909,4695,0,3726,16015,368
2018,"Kyaka II  ",8493,9328,0,5315,17138,1083,8405,9547,0,5301,15988,884
2018,"Kiryandongo  ",3701,7508,0,5880,10676,890,3837,7761,0,6730,7733,261
2018,"Kitgum",3550,4511,0,2746,6725,680,3565,4948,0,3281,4631,245
2018,"Koboko",392,777,0,565,896,79,359,769,0,594,557,47
2018,"Kyangwali  ",9548,10163,0,5098,19885,1818,9496,10451,0,5230,14958,1259
2018,"Nakivale  ",8044,11442,0,7799,22548,1098,8204,11546,0,7766,22788,1015
2018,"Oruchinga  ",614,854,0,540,1573,97,627,908,0,538,1379,103
2018,"Palorinya",10055,14624,0,10514,24201,3204,10133,15039,0,10834,18171,1729
2018,"Rhino Camp   ",8581,12990,0,8966,18107,1553,8662,13319,0,9814,14063,663
2018,"Rwamanja  ",7094,9006,0,4101,12608,730,7063,8756,0,4195,10848,670
2018,"Yumbe (Bidibidi)",25566,32310,0,18940,37008,3553,24634,33586,0,20289,25503,1571
