Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2010,Uganda,Uganda : Dispersed in the country / territory,0,0,,0,0,0,29,29,0,0,,0,0,0,30,30,59
2010,Uganda,Rhino Camp : Point,87,186,,156,318,25,0,772,78,170,,184,238,17,0,687,1459
2010,Uganda,Palorinya : Point,145,216,,191,468,33,0,1053,158,248,,162,375,15,0,958,2011
2010,Uganda,Pader : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,89664
2010,Uganda,Oruchinga : Point,163,171,,102,273,18,0,727,124,173,,105,288,26,0,716,1443
2010,Uganda,Nakivale : Point,5935,6460,,3403,12369,536,0,28703,5986,6391,,3590,13364,521,0,29852,58555
2010,Uganda,Masindi : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,55000
2010,Uganda,Kyangwali : Point,2370,2607,,1488,4650,271,0,11386,2409,2609,,1525,4526,213,0,11282,22668
2010,Uganda,Kitgum : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,121654
2010,Uganda,Kiryandongo : Point,293,494,,352,1027,94,0,2260,292,480,,396,895,76,0,2139,4399
2010,Uganda,Kayaka II : Point,1850,2234,,1297,3850,313,0,9544,1743,2186,,1397,3530,320,0,9176,18720
2010,Uganda,Katakwi : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,4500
2010,Uganda,Kampala : District,1452,2830,,2846,9599,303,0,17030,1507,2845,,2820,13350,268,0,20790,37820
2010,Uganda,Imvepi : Point,124,215,,174,376,29,0,918,146,243,,232,395,6,0,1022,1940
2010,Uganda,Gulu : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,43699
2010,Uganda,Amuru : Point,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,97628
2010,Uganda,Amuria : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,5000
2010,Uganda,Adjumani : District,555,907,,625,1805,107,0,3999,545,937,,657,1396,56,0,3591,19034
2011,Uganda,Uganda : Dispersed in the country / territory,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,12
2011,Uganda,Rhino Camp : Point,83,157,,162,330,28,0,760,77,150,,174,263,17,0,681,1441
2011,Uganda,Palorinya : Point,131,201,,148,366,26,0,872,132,187,,142,274,12,0,747,1619
2011,Uganda,Pader : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,38550
2011,Uganda,Oruchinga : Point,493,548,,323,1089,64,0,2517,480,549,,333,991,62,0,2415,4932
2011,Uganda,Nakivale : Point,5120,6494,,3938,12444,530,0,28526,5196,6452,,3986,12843,585,0,29062,57588
2011,Uganda,Masindi : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,20000
2011,Uganda,Kyangwali : Point,2546,2961,,1705,5224,311,0,12747,2572,2984,,1724,5121,244,0,12645,25392
2011,Uganda,Kitgum : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,12290
2011,Uganda,Kiryandongo : Point,255,501,,353,1065,103,0,2277,266,504,,384,941,76,0,2171,4448
2011,Uganda,Kayaka II : Point,1494,1846,,1213,3405,282,0,8240,1458,1806,,1283,3124,311,0,7982,16222
2011,Uganda,Katakwi : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,1260
2011,Uganda,Kampala : District,1945,4412,,5851,6544,205,0,18957,2029,4541,,7472,9320,181,0,23543,42500
2011,Uganda,Imvepi : Point,112,196,,183,388,28,0,907,142,213,,238,427,6,0,1026,1933
2011,Uganda,Gulu : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,9043
2011,Uganda,Amuru : Point,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,35475
2011,Uganda,Amuria : District,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,1615
2011,Uganda,Adjumani : District,492,873,,606,1578,111,0,3660,509,888,,626,1097,46,0,3166,14191
2012,Uganda,Rwamanja,4122,3543,,3379,3579,117,,14740,4081,3609,,3406,3859,102,,15057,29797
2012,Uganda,Rhino Camp : Point,340,579,,422,812,79,,2232,341,592,,553,515,33,,2034,4266
2012,Uganda,Oruchinga : Point,536,730,,379,1248,67,,2960,582,680,,406,1089,72,,2829,5789
2012,Uganda,Nakivale : Point,5530,7713,,4901,13228,603,,31975,5554,7750,,5034,13423,637,,32398,64373
2012,Uganda,Kyangwali : Point,2302,3935,,4217,304,2,,10760,2393,3976,,3883,267,1,,10520,21280
2012,Uganda,Kiryandongo : District,238,414,,317,838,80,,1887,239,430,,345,687,64,,1765,3652
2012,Uganda,Kayaka II : Point,1964,2166,,1402,3385,276,,9193,1954,2150,,1453,3041,264,,8862,18055
2012,Uganda,Kampala : City,3205,9220,,13634,5213,169,,31441,3310,9483,,17456,7642,144,,38035,69476
2012,Uganda,Adjumani : District,712,1210,,873,2025,145,,4965,723,1299,,880,1351,61,,4314,9279
2013,Uganda,Uganda : Dispersed in the country / territory,,,,,,,,0,,,,,,,,0,50000
2013,Uganda,Rwamanja : Point,7223,6594,,7894,3353,98,,25162,7153,6915,,8125,3595,91,,25879,51041
2013,Uganda,Rhino Camp : Point,888,1337,,784,1838,169,,5016,879,1413,,990,1183,75,,4540,9556
2013,Uganda,Oruchinga : Point,627,962,,1017,110,4,,2720,613,925,,862,93,2,,2495,5215
2013,Uganda,Nakivale : Point,6229,10744,,11170,1846,44,,30033,6295,10702,,10975,1935,31,,29938,59971
2013,Uganda,Kyangwali : Point,4080,4686,,4720,4094,237,,17817,4002,4970,,5075,3305,188,,17540,35357
2013,Uganda,Kiryandongo : District,279,493,,389,1043,96,,2300,300,493,,419,862,78,,2152,4452
2013,Uganda,Kayaka II : Point,2336,2644,,1895,3809,330,,11014,2341,2689,,1896,3507,295,,10728,21742
2013,Uganda,Kampala : City,2805,3847,,4184,8930,586,,20352,2815,3890,,3880,11917,525,,23027,43379
2013,Uganda,Adjumani : District,989,1808,,1226,3117,225,,7365,999,2021,,1464,2121,90,,6695,14060
2014,Uganda,Adjumani : District,7799,13588,,8304,20369,2098,0,52158,8237,14136,,8967,12796,886,0,45022
2014,Uganda,Kampala : City,3297,6482,,6520,16894,450,0,33643,3580,6569,,7040,20799,388,0,38376
2014,Uganda,Kiryandongo : District,2990,4425,,3211,6785,501,0,17912,3157,4529,,3601,5199,239,0,16725
2014,Uganda,Koboko,433,806,,362,868,74,0,2543,434,857,,388,478,40,0,2197
2014,Uganda,Kyaka II,2689,2962,,2358,3356,181,0,11546,2651,2994,,2286,3124,167,0,11222
2014,Uganda,Kyangwali : Point,4169,4956,,3080,7693,535,0,20433,4106,5081,,3112,7262,486,0,20047
2014,Uganda,Nakivale : Point,6574,8714,,5799,14366,667,0,36120,6514,8886,,5823,14297,650,0,36170
2014,Uganda,Oruchinga : Point,564,675,,362,1055,69,0,2725,549,640,,346,913,63,0,2511
2014,Uganda,Rhino Camp : Point,1630,2698,,1872,3170,233,0,9603,1763,2844,,2344,2188,80,0,9219
2014,Uganda,Rwamanja : Point,6417,6223,,3344,9673,393,0,26050,6271,6230,,3535,10367,363,0,26766
2014,Uganda,Uganda : Dispersed in the country / territory,0,0,,0,1,0,0,1,0,0,,0,0,0,0,0
2015,Uganda,Kampala : City,3221,6282,,5835,19112,542,,34992,4063,6329,,5476,22690,494,,39052
2015,Uganda,Kiryandongo : District,2901,6288,,4444,9343,711,,23687,3146,6591,,5026,7566,299,,22628
2015,Uganda,Kyaka II,2053,3037,,2101,5957,435,,13583,2024,3068,,2040,5969,428,,13529
2015,Uganda,Kyangwali : Point,3464,5205,,2950,8722,702,,21043,3407,5354,,3054,8292,637,,20744
