"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","F..Unknown","F..Total","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60.","M..Unknown","M..Total"
2016,"Oruchinga : Point",692,1038,0,603,1691,103,0,4127,713,1061,0,573,"1484",106,0,"3937"
2016,"Rwamanja : Point",7025,7978,0,3473,12016,620,0,31112,7031,7737,0,3675,"10786",581,0,"29810"
2016,"Yumbe",8563,10435,0,7421,15895,2246,0,44560,8684,10467,0,7974,"11576",879,0,"39580"
2016,"Uganda : Dispersed in the country / territory",18000,18000,0,18000,18000,18000,0,90000,18000,18000,0,18000,"18000",18000,0,"90000"
2017,"Adjumani : District",16062,32956,0,22420,45280,4714,0,121432,16735,34228,0,23928,"28318",1808,0,"105017"
2017,"Imvepi",10469,15768,0,9441,26522,2131,0,64331,10562,16254,0,10279,"24650",1008,0,"62753"
2017,"Kampala : City",3744,8143,0,7225,29546,858,0,49516,3816,8269,0,7043,"34211",839,0,"54178"
2017,"Kiryandongo : District",4360,7786,0,5794,10358,889,0,29187,4554,8244,0,6400,"8762",492,0,"28452"
2017,"Kyaka II",2493,3899,0,2412,7118,540,0,16462,2526,3932,0,2448,"6803",485,0,"16194"
2017,"Kyangwali : Point",3953,4402,0,2664,7195,483,0,18697,3993,4578,0,2714,"6294",437,0,"18016"
2017,"Lamwo",2065,3053,0,1653,4076,377,0,11224,2189,3391,0,1998,"2539",131,0,"10248"
2017,"Lobule",276,696,0,523,787,77,0,2359,267,710,0,554,"511",40,0,"2082"
2017,"Moyo",9942,17456,0,12749,27935,3157,0,71239,10131,17838,0,13230,"19414",1502,0,"62115"
2017,"Nakivale : Point",8230,11330,0,7970,22048,1110,0,50688,8416,11667,0,7991,"22265",982,0,"51321"
2017,"Oruchinga : Point",580,831,0,537,1467,89,0,3504,613,869,0,523,"1261",82,0,"3348"
2017,"Rhino Camp : Point",8091,15168,0,10452,25541,1615,0,60867,8113,15179,0,11312,"24165",777,0,"59546"
2017,"Rwamanja : Point",8428,9660,0,4635,14876,925,0,38524,8322,9395,0,4719,"15226",849,0,"38511"
2017,"Yumbe",29466,45145,0,26277,45571,4558,0,151017,29045,46969,0,28331,"29703",2022,0,"136070"
2018,"Adjumani : District",17529,28335,0,19396,38671,4842,0,108773,17763,29087,0,21316,"23845",1822,0,"93833"
2018,"Imvepi",5804,7886,0,4572,10523,1211,0,29996,5878,8054,0,4696,"7685",518,0,"26831"
2018,"Kampala : City",2916,4566,0,3787,15112,377,0,26758,2909,4695,0,3726,"16015",368,0,"27713"
2018,"Kayaka II : Point",8493,9328,0,5315,17138,1083,0,41357,8405,9547,0,5301,"15988",884,0,"40125"
2018,"Kiryandongo : District",3701,7508,0,5880,10676,890,0,28655,3837,7761,0,6730,"7733",261,0,"26322"
2018,"Kitgum",3550,4511,0,2746,6725,680,0,18212,3565,4948,0,3281,"4631",245,0,"16670"
2018,"Koboko",392,777,0,565,896,79,0,2709,359,769,0,594,"557",47,0,"2326"
2018,"Kyangwali : Point",9548,10163,0,5098,19885,1818,0,46512,9496,10451,0,5230,"14958",1259,0,"41394"
2018,"Nakivale : Point",8044,11442,0,7799,22548,1098,0,50931,8204,11546,0,7766,"22788",1015,0,"51319"
2018,"Oruchinga : Point",614,854,0,540,1573,97,0,3678,627,908,0,538,"1379",103,0,"3555"
2018,"Palorinya",10055,14624,0,10514,24201,3204,0,62598,10133,15039,0,10834,"18171",1729,0,"55906"
2018,"Rhino Camp : Point",8581,12990,0,8966,18107,1553,0,50197,8662,13319,0,9814,"14063",663,0,"46521"
2018,"Rwamanja : Point",7094,9006,0,4101,12608,730,0,33539,7063,8756,0,4195,"10848",670,0,"31532"
2018,"Yumbe (Bidibidi)",25566,32310,0,18940,37008,3553,0,117377,24634,33586,0,20289,"25503",1571,0,"105583"
