"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","F..Unknown","F..Total","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60.","M..Unknown","M..Total"
"2013","Oruchinga : Point","627","962","","1017","110","4","","2720","613","925","","862","93","2","","2495"
"2013","Nakivale : Point","6229","10744","","11170","1846","44","","30033","6295","10702","","10975","1935","31","","29938"
"2013","Kyangwali : Point","4080","4686","","4720","4094","237","","17817","4002","4970","","5075","3305","188","","17540"
"2013","Kiryandongo : District","279","493","","389","1043","96","","2300","300","493","","419","862","78","","2152"
"2013","Kayaka II : Point","2336","2644","","1895","3809","330","","11014","2341","2689","","1896","3507","295","","10728"
"2013","Kampala : City","2805","3847","","4184","8930","586","","20352","2815","3890","","3880","11917","525","","23027"
"2013","Adjumani : District","989","1808","","1226","3117","225","","7365","999","2021","","1464","2121","90","","6695"
"2014","Adjumani : District","7799","13588","","8304","20369","2098","0","52158","8237","14136","","8967","12796","886","0","45022"
"2014","Kampala : City","3297","6482","","6520","16894","450","0","33643","3580","6569","","7040","20799","388","0","38376"
"2014","Kiryandongo : District","2990","4425","","3211","6785","501","0","17912","3157","4529","","3601","5199","239","0","16725"
"2014","Koboko","433","806","","362","868","74","0","2543","434","857","","388","478","40","0","2197"
"2014","Kyaka II","2689","2962","","2358","3356","181","0","11546","2651","2994","","2286","3124","167","0","11222"
"2014","Kyangwali : Point","4169","4956","","3080","7693","535","0","20433","4106","5081","","3112","7262","486","0","20047"
"2014","Nakivale : Point","6574","8714","","5799","14366","667","0","36120","6514","8886","","5823","14297","650","0","36170"
"2014","Oruchinga : Point","564","675","","362","1055","69","0","2725","549","640","","346","913","63","0","2511"
"2014","Rhino Camp : Point","1630","2698","","1872","3170","233","0","9603","1763","2844","","2344","2188","80","0","9219"
"2014","Rwamanja : Point","6417","6223","","3344","9673","393","0","26050","6271","6230","","3535","10367","363","0","26766"
"2014","Uganda : Dispersed in the country / territory","0","0","","0","1","0","0","1","0","0","","0","0","0","0","0"
"2015","Kampala : City","3221","6282","","5835","19112","542","","34992","4063","6329","","5476","22690","494","","39052"
"2015","Kiryandongo : District","2901","6288","","4444","9343","711","","23687","3146","6591","","5026","7566","299","","22628"
"2015","Kyaka II","2053","3037","","2101","5957","435","","13583","2024","3068","","2040","5969","428","","13529"
"2015","Kyangwali : Point","3464","5205","","2950","8722","702","","21043","3407","5354","","3054","8292","637","","20744"
"2015","Nakivale : Point","6429","10747","","7514","22733","1158","","48581","6436","10995","","7502","24141","1084","","50158"
"2015","Oruchinga : Point","526","799","","435","1278","83","","3121","541","790","","408","1108","83","","2930"
"2015","Rwamanja : Point","7461","8121","","3611","14065","708","","33966","7283","7997","","3843","15535","630","","35288"
"2015","Adjumani : District","9962","16463","","10387","24919","2610","","64341","10359","17397","","11494","15493","1097","","55840"
"2015","Arua","2170","4310","","2947","5405","431","","15263","2326","4584","","3476","3679","155","","14220"
"2015","Uganda : Dispersed in the country / territory","18000","18000","","18000","18000","18000","","90000","18000","18000","","18000","18000","18000","","90000"
"2016","Adjumani : District","18025","28025","","17754","37172","3941","","104917","18661","29108","","19221","21103","1432","","89525"
"2016","Arua","7282","10760","","7956","15795","1067","","42860","7357","10775","","8579","13106","424","","40241"
"2016","Bidibidi RC (Yumbe)","","","","","","","","0","","","","","","","","0"
"2016","Kampala : City","3495","7047","","6462","24282","714","","42000","3604","7092","","6237","28432","614","","45979"
"2016","Kiryandongo : District","4271","7139","","4885","9274","763","","26332","4391","7614","","5492","6062","264","","23823"
"2016","Kyaka II","2350","3662","","2264","6420","480","","15176","2364","3709","","2287","6190","447","","14997"
"2016","Kyangwali : Point","3222","6008","","3241","9447","780","","22698","3173","6121","","3292","9057","716","","22359"
"2016","Moyo","1001","1376","","1056","1952","181","","5566","1027","1484","","969","1030","69","","4579"
"2016","Nakivale : Point","8425","13285","","9018","27124","1387","","59239","8620","13612","","9244","30009","1263","","62748"
"2016","Nakivale RC (Nakivale)","","","","","","","","0","","","","","","","","0"
"2016","Nyakabande TC (Kisoro)","","","","","","","","0","","","","","","","","0"
"2016","Nyumanzi RC (Adjumani)","","","","","","","","0","","","","","","","","0"
"2016","Ocea RC (Rhino Camp)","","","","","","","","0","","","","","","","","0"
"2016","Oruchinga : Point","692","1038","","603","1691","103","","4127","713","1061","","573","1484","106","","3937"
"2016","Palorinya RC (Moyo)","","","","","","","","0","","","","","","","","0"
"2016","Rwamanja : Point","7025","7978","","3473","12016","620","","31112","7031","7737","","3675","10786","581","","29810"
"2016","Yumbe","8563","10435","","7421","15895","2246","","44560","8684","10467","","7974","11576","879","","39580"
"2016","Uganda : Dispersed in the country / territory","18000","18000","","18000","18000","18000","","90000","18000","18000","","18000","18000","18000","","90000"
"2017","Adjumani : District","16062","32956","","22420","45280","4714","","121432","16735","34228","","23928","28318","1808","","105017"
