"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-07-04 10:26:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons","Others of concern","Total Population"
2017,Uganda,Eritrea,4566,10026,,,,,,14592
2017,Uganda,Ethiopia,1944,1289,,,,,,3233
2017,Uganda,Guinea,,1,,,,,,1
2017,Uganda,Gambia,,1,,,,,,1
2017,Uganda,India,,2,,,,,,2
2017,Uganda,Ireland,,1,,,,,,1
2017,Uganda,"Iran (Islamic Rep. of)",2,,,,,,,2
2017,Uganda,Iraq,,2,,,,,,2
2017,Uganda,Kenya,193,25,,,,,,218
2017,Uganda,Mali,,4,,,,,,4
2017,Uganda,Malawi,1,,,,,,,1
2017,Uganda,Nigeria,2,,,,,,,2
2017,Uganda,Pakistan,224,267,,,,,,491
2017,Uganda,Palestinian,,7,,,,,,7
2017,Uganda,Rwanda,14282,978,,,,,,15260
2017,Uganda,Sudan,2355,745,,,,,,3100
2017,Uganda,Senegal,5,,,,,,,5
2017,Uganda,Somalia,25011,12182,,,,,,37193
2017,Uganda,"South Sudan",1037412,486,,,,,,1037898
2017,Uganda,"Syrian Arab Rep.",7,12,,,,,,19
2017,Uganda,Chad,5,2,,,,,,7
2017,Uganda,Turkey,1,,,,,,,1
2017,Uganda,"United Rep. of Tanzania",2,,,,,,,2
2017,Uganda,Yemen,33,3,,,,,,36
2017,Uganda,Zambia,1,,,,,,,1
2018,Uganda,Burundi,32518,2463,,,,,,34981
2018,Uganda,"Central African Rep.",23,*,,,,,,27
2018,Uganda,"Dem. Rep. of the Congo",303092,9607,,,,,,312699
2018,Uganda,Congo,6,*,,,,,,7
2018,Uganda,Egypt,,*,,,,,,*
2018,Uganda,Eritrea,3373,6149,,,,,,9522
2018,Uganda,Ethiopia,1708,675,,,,,,2383
2018,Uganda,India,*,,,,,,,*
2018,Uganda,"Iran (Islamic Rep. of)",*,,,,,,,*
2018,Uganda,Kenya,194,20,,,,,,214
2018,Uganda,Liberia,*,,,,,,,*
2018,Uganda,Mali,,*,,,,,,*
2018,Uganda,Malawi,*,,,,,,,*
2018,Uganda,Nigeria,10,*,,,,,,12
2018,Uganda,Pakistan,220,91,,,,,,311
2018,Uganda,Palestinian,*,,,,,,,*
2018,Uganda,"Russian Federation",*,,,,,,,*
2018,Uganda,Rwanda,14024,589,,,,,,14613
2018,Uganda,Sudan,2802,347,,,,,,3149
2018,Uganda,Senegal,11,,,,,,,11
2018,Uganda,Somalia,18764,4869,,,,,,23633
2018,Uganda,"South Sudan",788848,439,,,,,,789287
2018,Uganda,"Syrian Arab Rep.",*,5,,,,,,9
2018,Uganda,Chad,7,*,,,,,,8
2018,Uganda,Turkey,8,,,,,,,8
2018,Uganda,"United Rep. of Tanzania",8,,,,,,,8
2018,Uganda,Yemen,20,,,,,,,20
2018,Uganda,Zambia,*,,,,,,,*
